category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT,614,0.005,59.0,0.165
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_NNT,555,0.005,69.8,0.206
gemm,nvjet_sm103_tst_64x32_64x16_2x1_2cta_v_bz_splitK_NTT,1224,0.005,33.3,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT,648,0.004,43.3,0.12
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_NNT,621,0.004,52.0,0.143
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_NNT,508,0.004,60.7,0.153
gemm,nvjet_sm103_tst_256x128_64x5_2x4f_2cta_h_bz_NNT,283,0.004,118.1,0.23
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_TNT,412,0.004,71.7,0.183
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT,143,0.004,192.3,0.774
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_NNT,424,0.003,60.7,0.157
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,526,0.003,32.1,0.219
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_TNT,354,0.003,43.6,0.229
gemm,nvjet_sm103_tst_128x232_64x4_4x1f_v_bz_TNT,174,0.003,119.2,0.24
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_NNT,373,0.003,66.3,0.169
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_NNT,150,0.003,117.6,0.282
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT,608,0.003,36.5,0.118
gemm,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,698,0.003,28.0,0.121
gemm,nvjet_sm103_tst_192x224_64x5_2x2_2cta_h_bz_TNT,282,0.003,73.7,0.158
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_NNT,198,0.003,101.6,0.236
gemm,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,336,0.003,74.0,0.077
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_NNN,612,0.003,33.1,0.127
gemm,nvjet_sm103_tst_96x64_64x13_2x2_2cta_h_bz_NNN,853,0.003,27.1,0.113
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_TNT,316,0.002,50.0,0.094
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_NNT,445,0.002,38.3,0.124
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_TNT,398,0.002,46.3,0.124
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_TNT,236,0.002,52.1,0.128
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_NNT,369,0.002,45.4,0.148
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_TNT,266,0.002,57.4,0.149
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_TNT,278,0.002,59.1,0.141
