category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_NNT,84,0.0,37.6,0.057
gemm,nvjet_sm103_tst_192x128_64x6_2x1_2cta_v_bz_NNT,64,0.0,11.5,0.211
gemm,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_TNT,24,0.0,59.2,0.142
gemm,nvjet_sm103_tst_192x128_64x6_2x2f_2cta_h_bz_TNT,10,0.0,89.6,0.111
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_NNT,6,0.0,59.1,0.065
gemm,nvjet_sm103_tst_192x144_64x6_2x1_2cta_v_bz_TNT,12,0.0,32.9,0.035
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_NNT,3,0.0,66.9,0.067
gemm,nvjet_sm103_tst_192x160_64x6_2x1_2cta_v_bz_TNT,6,0.0,36.6,0.043
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_NNT,75,0.0,44.9,0.077
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_NNT,2,0.0,72.5,0.075
gemm,nvjet_sm103_tst_192x160_64x6_2x2f_2cta_h_bz_TNT,14,0.0,81.2,0.186
gemm,nvjet_sm103_tst_192x176_64x6_2x2f_2cta_h_bz_TNT,2,0.0,66.1,0.067
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_NNT,50,0.0,50.0,0.077
gemm,nvjet_sm103_tst_192x208_64x5_2x2_2cta_h_bz_TNT,100,0.0,27.2,0.039
gemm,nvjet_sm103_tst_192x256_64x5_2x2_2cta_h_bz_NNT,5,0.0,35.3,0.054
